,Date,Tweets
103,2022-03-12,Should you put me on that flight?because we are still sitting hereâ€¦way over an hour after we were supposed to take off. #unitedairlines ruining vacations since 1926. Scott Kirby can I get some help here?
104,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
105,2022-03-12,"RT @virtualUA: Special Fireside Chat on Discord starts in a few hours; we hope you can join us! 

#airplane #boeing #instaplane #unitedairlâ€¦"
106,2022-03-12,"RT @virtualUA: Gear up, it's the weekend! 

ðŸ“¸: Deonte P.

#aviation #unitedairlines #planespotting #flightsim #msfs2020 #xplane11 #p3d #airâ€¦"
107,2022-03-12,"RT @rschuch: Window seat in Premier? UAL1930
@united #United #UnitedAirlines #Airplane #Airport #Flying #Aviation #PlaneSpotting #PlaneSpotâ€¦"
108,2022-03-12,"Window seat in Premier? UAL1930
@united #United #UnitedAirlines #Airplane #Airport #Flying #Aviation #PlaneSpotting #PlaneSpotters #WindowSeat #UA1930 https://t.co/WtVizfCvd7"
109,2022-03-12,"United Airlines Backtracks On Window Shade Rule 
#UnitedAirlines  
https://t.co/DjM0XPRD1p"
110,2022-03-12,"Special Fireside Chat on Discord starts in a few hours; we hope you can join us! 

#airplane #boeing #instaplane #unitedairlines #beingunited #fsx #p3d #xplane11 #msfs2020 #vatsim #avgeek #firesidechat #community https://t.co/0lLpbZnjgw"
111,2022-03-12,"All passengers boarded the flight, all announcements were done and then flight captain checked the fuel and realized it doesn't have any ðŸ˜‚ classic @UnltedAirlines #unitedAIRLINES"
112,2022-03-12,"Hey @united just want to let you know that Sacha at IAH Additional Services Terminal C is awesome. She provided us with exceptional customer service today, given the spring break rush! #unitedairlines #greatcustomerservice"
113,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
114,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
115,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
116,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
117,2022-03-12,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
118,2022-03-12,Anyone know what golf course (Ireland?) is used in the FAA safety video running on United Airlines? #unitedairlines #golf #golfireland
119,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
120,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
121,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
122,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
123,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
124,2022-03-12,First flight âœˆï¸âœ… First tweet âœ…. Extending a warm welcome to our newest flight attendants!  Welcome to the United family. #unitedairlines @IAHInflight @crystalhIAH @meldav99 @united @RRR_United @MoQuinnUA @michielle_ua @jslate78 @bostonflyguy1 https://t.co/iglVhgQWEW
125,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
126,2022-03-12,"Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitedairlines #planespotting #frankfurtairport https://t.co/bvCCI5n6gx"
127,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
128,2022-03-12,"Gear up, it's the weekend! 

ðŸ“¸: Deonte P.

#aviation #unitedairlines #planespotting #flightsim #msfs2020 #xplane11 #p3d #airplane #boeing #airbus #pilot #takeoff #weekend #excited #travel #beingunited #instaplane #avgeek https://t.co/QvAZa6jT4U"
129,2022-03-12,"RT @KeelyF9: A United Airlines 737-800 climbs into the sky on her way to Denver from MSO ðŸ›«
*
#united #unitedairlines #commercialaviation #aâ€¦"
130,2022-03-12,"UA2425 - Incident: United B738 near Austin on Mar 11th 2022, possible fire on board https://t.co/Gkg7meyUyN #flight #incident #UnitedAirlines #UA2425 #AUS #IAH"
131,2022-03-12,"A United Airlines 737-800 climbs into the sky on her way to Denver from MSO ðŸ›«
*
#united #unitedairlines #commercialaviation #a737800  #boeing737 #n37263 #aviationphotography #flymissoula #mso #montana #missoula #mountainflying #nikon #nikonphotography #veteranartist https://t.co/BoaKgCsbQm"
132,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
133,2022-03-12,"ICAO: #A254F7
Flt: #UAL906 #UnitedAirlines
First seen: 2022/03/12 13:37:32
Min Alt: 10800 ft MSL
Min Dist: 1.09 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/2VaA3KpZFz https://t.co/O1A89zGP3r"
134,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
135,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
136,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
137,2022-03-12,Not surprised. All was about control. #unitedAIRLINES #Vaccinemandate https://t.co/FjfbCAlmIq
138,2022-03-12,"Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itsreal #planespotting #spotterguide 

Photo taken by @TangOscar6 https://t.co/BfoDcCA4kw"
139,2022-03-12,RT @carimeli: United Airlines to Let Workers Who Didnâ€™t Get COVID-19 Vaccine Return to Work https://t.co/79vsx4Mq9F via @epochtimes #COVIDâ€¦
140,2022-03-12,RT @pember_emily: @Kris10Parisi @USDOT When I went to Peru in high school (mission trip) they tried to tell me they lost my chair and triedâ€¦
141,2022-03-12,RT @AirlinesOffici2: Searching for United Airlines last-minute flights deals? Sometimes the airline releases last-minute deals to fill itsâ€¦
142,2022-03-12,"Searching for United Airlines last-minute flights deals? Sometimes the airline releases last-minute deals to fill its vacant seats. Read our guide on how to book such United flights with the cheapest airfare.
https://t.co/Ax94eDB5TB
#unitedairlines #unitedflightdeals https://t.co/mQVmBpeik2"
143,2022-03-12,"@dojo776 @Kushagra_iitkgp @united ""Although it's not airlines fault... we apologize"" we were quoted. Thank god they came to their senses and cancelled upcoming flights after this debacle at the airport, so passengers on the coming days did not have to suffer as us. #UnitedAirlines"
144,2022-03-12,"@Kris10Parisi @USDOT When I went to Peru in high school (mission trip) they tried to tell me they lost my chair and tried to give me a hospital chair. When I wouldnâ€™t just quietly take the hospital chair, the airline found mine. @AmericanAir and #UnitedAirlines are who I often use. Not sure what"
145,2022-03-12,RT @carimeli: United Airlines to Let Workers Who Didnâ€™t Get COVID-19 Vaccine Return to Work https://t.co/79vsx4Mq9F via @epochtimes #COVIDâ€¦
146,2022-03-12,On hold on #UnitedAirlines Premier line for 2 hours 17 minutes; got agent who put me back on hold. At 2 hours and 24 now ... surely United can do better
147,2022-03-12,"Flew #UnitedAirlines SFO to IAD flight attendant startled my teen, scaring the crap out of her while sleeping, bc her mask slipped off her nose. She religiously wears her mask, I do not. Great teaching moment: there are assholes everywhere."
148,2022-03-12,"@Delta sucks,Never renewing my membership again . @UnitedAirlines_ you just gained a new customer your accommodations @fly2ohare were awesome thank you for keeping us comfortable during our 3hour layover were @Delta wouldnâ€™t !  #byedelta #airplane #Airport #delta #UnitedAirlines"
149,2022-03-12,"Boycotting #UnitedAirlines for not providing online check-in for basic economy passengers without a carry-on bag. What now, I get punished for traveling light? @united is GREEDY for making 30% of customer base (basic-economy) miserable so we purchase higher fares."
150,2022-03-12,"ICAO: A620B7
Flt: UAL1726 #UnitedAirlines
First seen: 2022/03/11 21:13:27
Min Alt: 950 ft MSL
Min Dist: 2.7 nm

#planefence #adsb - docker:kx1t/planefence
https://t.co/DpTVSDAgKm https://t.co/BvrsaJVT5H"
151,2022-03-12,@united #B737 900 #FirstClass Snack #DEN to #SAN https://t.co/QkuQsLWEbY #AvGeek #aviation #aviationdaily #travel #LuxuryTravel #United  #UnitedAirlines #UAL #inflightmeal #inflightfeed #planefood #airplanemeal #StarAlliance #Denver #SanDiego #patstravelreviews https://t.co/xTDJUJxf0U
152,2022-03-12,"#UnitedAirlines has changed its #vaccinepolicy. Its #unvaccinated employees can now go back to work starting soon.

ðŸ”¥WATCH HEREðŸ‘‰https://t.co/5KI5rxWPD1 
https://t.co/D8W3R9C5xz"
153,2022-03-12,RT @carimeli: United Airlines to Let Workers Who Didnâ€™t Get COVID-19 Vaccine Return to Work https://t.co/79vsx4Mq9F via @epochtimes #COVIDâ€¦
154,2022-03-11,"MSFS 2020 approved! Come fly with us today! https://t.co/BudSRxy7PJ

ðŸ“¸: Liam S. 

#unitedairlines #beingunited #airbus #airbusa320 #a320 #planespotter #pilot #airplane #avgeek #aviation #msfs2020 #xplane11 #fsx #p3d #travel https://t.co/rC0hgwCQUw"
